index,site_id,lon,lat,notes,stream_width_m,basin_size_km2,figure_table,id,mass_type,mass_units,acsp,aisp,eph_sp,ple_sp,tri_sp,chi_sp,other_sp
191,Hopkins_1976_HinauStream_Main_OrgEnrich,175.483,-40.967,No Insect production reported,NA,NA,NA,83,DM,g,1610,NA,NA,NA,NA,NA,NA
61,Johnson_EtAl_2013_AshRun,-81.1,38.29,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,84,AFDM,g,20666.666666666668,20666.666666666668,2444.4444444444443,9666.666666666668,NA,8555.555555555557,NA
62,Johnson_EtAl_2013_BucklesRun,-81.19,38.23,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,85,AFDM,g,73444.44444444445,73444.44444444445,NA,7777.777777777778,NA,65666.66666666667,NA
65,Johnson_EtAl_2013_HardwayRun,-81.04,38.3,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,86,AFDM,g,19888.88888888889,19888.88888888889,NA,4555.555555555556,NA,15333.333333333334,NA
67,Johnson_EtAl_2013_JackRun,-81.12,38.28,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,87,AFDM,g,30555.55555555556,30555.55555555556,8555.555555555557,8777.777777777777,NA,13222.222222222223,NA
68,Johnson_EtAl_2013_LaurelRun,-81.11,38.3,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,88,AFDM,g,23888.88888888889,23888.88888888889,4777.777777777778,6111.111111111111,NA,13000,NA
70,Johnson_EtAl_2013_NeilRun,-81.08,38.29,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,89,AFDM,g,22888.88888888889,22888.88888888889,4777.777777777778,4333.333333333334,NA,13777.77777777778,NA
71,Johnson_EtAl_2013_PetersRun,-81.04,38.3,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,90,AFDM,g,14222.222222222223,14222.222222222223,2555.5555555555557,4222.222222222223,NA,7444.444444444444,NA
73,Johnson_EtAl_2013_SugarcampRun,-81.03,38.31,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,91,AFDM,g,58555.555555555555,58555.555555555555,NA,NA,NA,51555.555555555555,7000
136,Johnson_EtAl_2013_Beech,-81.049,38.319,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,92,AFDM,g,12111.111111111111,12111.111111111111,NA,1444.4444444444446,NA,10666.666666666668,NA
