"","BAS_ID","BAS_Class","BA_km2","mnRSSA_pc","sdRSSA_pc"
"30855",4000015800,"C",105.768,0.73723670341872,0.182375861149044
"30856",4000015820,"C",891.093,0.83688636018955,0.161740918111283
"30857",4000015840,"C",268.809,0.78070498799714,0.174537002470606
"30858",4000015850,"C",55.1462,0.71545042579387,0.188981882692665
"30859",4000015860,"C",741.34,0.8383501283197,0.165976497827177
"30860",4000015870,"C",118.962,0.76165635284807,0.186211371431168
"30861",4000015880,"C",108.289,0.75618575597338,0.186687343171978
"30862",4000015890,"C",3.62351,0.60620974142139,0.202954729463439
"30863",4000015900,"C",9.68651,0.64187403223648,0.198433019479731
"30864",4000015910,"C",3514.18,0.90878306644593,0.144745881341396
"30865",4000015920,"C",7.51175,0.62719867478559,0.198039014215443
"30866",4000015930,"C",8.61112,0.62782136274035,0.195994676866175
"30867",4000015940,"C",888.024,0.73664744532925,0.141814122744509
"30868",4000015950,"C",44.5996,0.66054332205342,0.177958585353518
"30869",4000015960,"C",393.627,0.72165404243491,0.153951577320539
"30870",4000015970,"C",167.71,0.66428094977388,0.156144893199536
"30871",4000015990,"C",188.415,0.63687968276464,0.147709289923861
"30872",4000016010,"C",1388.86,0.68818988705124,0.124354654474425
"30873",4000016070,"C",128.954,0.61178975838143,0.147849659421442
"30874",4000016080,"C",2952.28,0.70348885797432,0.113646802906851
"30875",4000016090,"C",36.8183,0.56111444620991,0.153826344026166
"30876",4000016100,"C",638.989,0.60472302001361,0.121088429653197
"30877",4000016110,"C",34.0702,0.54635020973252,0.150876281948331
"30878",4000016120,"C",272.914,0.58770736969951,0.130573002972136
"30879",4000016130,"C",134.556,0.53654191200062,0.1290039590152
"30880",4000016140,"C",54.839,0.49616479844971,0.130883483209166
"30881",4000016150,"C",1855.03,0.5960529467002,0.102991537874503
"30882",4000016160,"C",20.1943,0.46885943577796,0.135912071403549
"30883",4000016170,"C",4.87159,0.42535770887584,0.139184336400273
"30884",4000016180,"C",116.683,0.50665130628474,0.12370007699549
"30885",4000016190,"C",76.3484,0.49213368758445,0.125589679662249
"30886",4000016200,"C",165.754,0.49641918339103,0.116688992812309
"30887",4000016210,"C",13164.2,0.68705839237817,0.085010066426117
"30888",4000016220,"C",34.2385,0.44979095029121,0.124228727642514
"30889",4000016230,"C",396.941,0.49177991286145,0.104483657374389
"30890",4000016240,"C",0.374255,0,0
"30891",4000016250,"C",127.387,0.46022935819887,0.111376769860931
"30892",4000016260,"C",6.99767,0.39022852673979,0.124083925203389
"30893",4000016270,"C",353.058,0.45725654787171,0.098593729191985
"30894",4000016280,"C",100.597,0.43166135447294,0.107173014613276
"30895",4000016290,"C",8.70479,0.34047386381322,0.106504872647032
"30896",4000016300,"C",138.169,0.43732837411278,0.1049656877128
"30897",4000016310,"C",256.869,0.39325202890317,0.088226916619281
"30898",4000016320,"C",849.225,0.44441085083022,0.085797757575733
"30899",4000016330,"C",5.55887,0.29203920487085,0.095005465695585
"30900",4000016340,"C",140.985,0.36754653838268,0.088273231879319
"30901",4000016350,"C",121.013,0.35571249791824,0.086896051424663
"30902",4000016360,"C",1905.94,0.45448370204939,0.078277126122495
"30903",4000016370,"C",67.6971,0.31685118915516,0.082376006781245
"30904",4000016380,"C",238.967,0.31187321726254,0.07098980897134
"30905",4000016390,"C",190.803,0.32337242249476,0.075390925618612
"30906",4000016470,"C",3004.59,0.394597423287,0.063638832981903
"30907",4000016480,"C",168.022,0.25190196184006,0.060092188164617
"30908",4000016490,"C",103.341,0.2632050537396,0.065946746405836
"30909",4000016500,"C",204.919,0.30336543822006,0.070315242017586
"30910",4000016510,"C",0.847718,0.21182077562286,0.079773140895253
"30911",4000016520,"C",468.144,0.37565942519283,0.078555622969726
"30912",4000016530,"C",75.1798,0.28970125944349,0.074718746863985
"30913",4000016540,"C",1994.8,0.48501724572917,0.082890833999022
"30914",4000016550,"C",367.171,0.37092564010844,0.079910060854372
"30915",4000016570,"C",1097.9,0.50021920194981,0.093137752359318
"30916",4000016590,"C",792.992,0.57757803242667,0.112391584518374
"30917",4000016600,"C",158.634,0.45799308808028,0.108235069811569
"30918",4000016610,"C",464.121,0.60350979335452,0.125824193274986
