"© 2002, by the American Society of Limnology and Oceanography, Inc.",,,,,,,,,,,,,,,,,,,,,,,,
"McCutchan, Jr., James H., and William M. Lewis, Jr. 2002. Relative importance of carbon sources for",,,,,,,,,,,,,,,,,,,,,,,,
macroinvertebrates in a Rocky Mountain stream. Limnol. Oceanogr. 47: 742-752.,,,,,,,,,,,,,,,,,,,,,,,,
Web Appendix 1.  Macroinvertebrate production (MP; units are mgDM m-2  yr-1) and the proportional,,,,,,,,,,,,,,,,,,,,,,,,
contribution of algal carbon to production (kalgal carbon) for taxa at each site.,,,,,,,,,,,,,,,,,,,,,,,,
Simuliidae,,52,0.81,490,1,,,,,,,,,,,,,,,,,,,
Ephemeroptera:  Ameletus sp.,,19,0.73,10,0.78,,,,,,,,,,,,,,,,,,,
Baetis tricaudatus,,903,0.75,1377,0.79,,,,,,,,,,,,,,,,,,,
Cinygmula sp.,,24,0.86,57,0.66,,,,,,,,,,,,,,,,,,,
Drunella coloradensis,,30,0.81,37,0.9,,,,,,,,,,,,,,,,,,,
Drunella doddsi,,828,0.93,844,0.92,,,,,,,,,,,,,,,,,,,
Drunella grandis,,260,0.96,235,0.99,,,,,,,,,,,,,,,,,,,
Epeorus sp.,,226,0.8,336,0.73,,,,,,,,,,,,,,,,,,,
Ephemerella infrequens,,146,0.82,57,0.86,,,,,,,,,,,,,,,,,,,
Paraleptophlebia sp.,,20,0.74,12,0.59,,,,,,,,,,,,,,,,,,,
Rithrogena hageni,,400,0.68,731,0.91,,,,,,,,,,,,,,,,,,,
Seratella tibialis,,124,0.89,63,0.87,,,,,,,,,,,,,,,,,,,
Plecloptera:  Hesperoperla pacifica,,156,0.9,168,0.91,,,,,,,,,,,,,,,,,,,
Isoperla sp.,,108,0.91,29,0.91,,,,,,,,,,,,,,,,,,,
Malenka sp.,,16,0.17,6,0.52,,,,,,,,,,,,,,,,,,,
Megarcys signata,,71,0.97,190,0.92,,,,,,,,,,,,,,,,,,,
Podmosta sp.,,27,0.73,73,0.07,,,,,,,,,,,,,,,,,,,
Sweltsa sp.,,159,0.74,728,0.87,,,,,,,,,,,,,,,,,,,
Taenionema sp.,,17,0.82,58,1,,,,,,,,,,,,,,,,,,,
Zapada cinctipes,,21,0.48,7,0.51,,,,,,,,,,,,,,,,,,,
Zapada oregonensis,,17,0.73,4,0.36,,,,,,,,,,,,,,,,,,,
Trichoptera:  Agraylea sp.,,4,1,1,0.86,,,,,,,,,,,,,,,,,,,
Allomyia tripunctata,,555,0.84,133,0.98,,,,,,,,,,,,,,,,,,,
Arctopsyche grandis,,3525,0.51,760,0.85,,,,,,,,,,,,,,,,,,,
Dolophilodes aequalis,,397,0.44,143,0.41,,,,,,,,,,,,,,,,,,,
Hydropsyche oslari,,272,0.93,449,0.81,,,,,,,,,,,,,,,,,,,
Lepidostoma sp.,,234,0.65,184,0.72,,,,,,,,,,,,,,,,,,,
Rhyacophila coloradensis,,203,1,64,1,,,,,,,,,,,,,,,,,,,
Rhyacophila wallowa,,107,0.85,244,0.87,,,,,,,,,,,,,,,,,,,
Acarina,,162,1,130,1,,,,,,,,,,,,,,,,,,,
Turbellaria,,149,0.4,63,0.25,,,,,,,,,,,,,,,,,,,
Other taxa,,987,,894,,,,,,,,,,,,,,,,,,,,
,Total production,12126,,10093,,,,,,,,,,,,,,,,,,,,
page 3 of 3,,,,,,,,,,,,,,,,,,,,,,,,
